Country or Area,Year,Age of mother,Value
Egypt,1995,40 - 44,42668
Egypt,1995,45 +,11444
Egypt,1995,Unknown,122206
Egypt,1994,Total,1610652
Egypt,1994,0 - 19,37654
Egypt,1994,20 - 24,381060
Egypt,1994,25 - 29,512897
Egypt,1994,30 - 34,325687
Egypt,1994,35 - 39,174056
Egypt,1994,40 - 44,46483
Egypt,1994,45 +,12485
Egypt,1994,Unknown,120330
Egypt,1993,Total,1600549
Egypt,1993,0 - 19,34563
Egypt,1993,20 - 24,369671
Egypt,1993,25 - 29,514515
Egypt,1993,30 - 34,319711
Egypt,1993,35 - 39,174883
Egypt,1993,40 - 44,48128
Egypt,1993,45 +,13886
Egypt,1993,Unknown,125192
Egypt,1992,Total,1496866
Egypt,1992,0 - 19,34092
Egypt,1992,20 - 24,337764
Egypt,1992,25 - 29,490957
Egypt,1992,30 - 34,302708
Egypt,1992,35 - 39,174048
Egypt,1992,40 - 44,48275
Egypt,1992,45 +,14429
Egypt,1992,Unknown,94593
Egypt,1991,Total,1636551
Egypt,1991,0 - 19,36902
Egypt,1991,20 - 24,367971
Egypt,1991,25 - 29,534881
Egypt,1991,30 - 34,336895
Egypt,1991,35 - 39,194375
Egypt,1991,40 - 44,53812
Egypt,1991,45 +,16884
Egypt,1991,Unknown,94831
Egypt,1990,Total,1686877
Egypt,1990,0 - 19,35630
Egypt,1990,20 - 24,360280
Egypt,1990,25 - 29,534050
Egypt,1990,30 - 34,351732
Egypt,1990,35 - 39,210128
Egypt,1990,40 - 44,61160
Egypt,1990,45 +,18825
Egypt,1990,Unknown,115072
Egypt,1989,Total,1722934
Egypt,1989,0 - 19,39357
Egypt,1989,20 - 24,363998
Egypt,1989,25 - 29,531289
Egypt,1989,30 - 34,360557
Egypt,1989,35 - 39,214319
Egypt,1989,40 - 44,64404
Egypt,1989,45 +,19597
Egypt,1989,Unknown,129413
Egypt,1988,Total,1912765
Egypt,1988,0 - 19,43572
Egypt,1988,20 - 24,402735
Egypt,1988,25 - 29,578943
Egypt,1988,30 - 34,403382
Egypt,1988,35 - 39,242378
Egypt,1988,40 - 44,77681
Egypt,1988,45 +,25077
Egypt,1988,Unknown,138997
Egypt,1987,Total,1902604
Egypt,1987,0 - 19,42706
Egypt,1987,20 - 24,393326
Egypt,1987,25 - 29,561755
Egypt,1987,30 - 34,385056
Egypt,1987,35 - 39,227765
Egypt,1987,40 - 44,76287
Egypt,1987,45 +,26971
Egypt,1987,Unknown,188738
Egypt,1986,Total,1907975
Egypt,1986,0 - 19,45377
Egypt,1986,20 - 24,387365
Egypt,1986,25 - 29,554482
Egypt,1986,30 - 34,386118
Egypt,1986,35 - 39,229419
Egypt,1986,40 - 44,80532
Egypt,1986,45 +,29412
Egypt,1986,Unknown,195270
Egypt,1985,Total,1903022
Egypt,1985,0 - 19,48651
Egypt,1985,20 - 24,386402
Egypt,1985,25 - 29,563411
Egypt,1985,30 - 34,384300
Egypt,1985,35 - 39,234456
Egypt,1985,40 - 44,82090
Egypt,1985,45 +,32186
Egypt,1985,Unknown,171526
Egypt,1984,Total,1797206
Egypt,1984,0 - 19,47660
Egypt,1984,20 - 24,375908
Egypt,1984,25 - 29,553333
Egypt,1984,30 - 34,380465
Egypt,1984,35 - 39,232798
Egypt,1984,40 - 44,82212
Egypt,1984,45 +,28838
Egypt,1984,Unknown,95992
Egypt,1983,Total,1666915
Egypt,1983,0 - 19,43585
Egypt,1983,20 - 24,344962
Egypt,1983,25 - 29,521193
Egypt,1983,30 - 34,343733
Egypt,1983,35 - 39,218193
Egypt,1983,40 - 44,78589
Egypt,1983,45 +,29263
Egypt,1983,Unknown,87397
Egypt,1982,Total,1601265
Egypt,1982,0 - 19,67935
Egypt,1982,20 - 24,321201
Egypt,1982,25 - 29,497122
Egypt,1982,30 - 34,334060
Egypt,1982,35 - 39,216403
Egypt,1982,40 - 44,77436
Egypt,1982,45 +,31314
Egypt,1982,Unknown,55794
Egypt,1981,Total,1593698
Egypt,1981,0 - 19,62360
Egypt,1981,20 - 24,323864
Egypt,1981,25 - 29,491419
Egypt,1981,30 - 34,323987
Egypt,1981,35 - 39,219776
Egypt,1981,40 - 44,78888
Egypt,1981,45 +,32208
Egypt,1981,Unknown,61196
Egypt,1980,Total,1569247
Egypt,1980,0 - 19,49417
Egypt,1980,20 - 24,306562
Egypt,1980,25 - 29,470019
Egypt,1980,30 - 34,332249
Egypt,1980,35 - 39,221538
Egypt,1980,40 - 44,81652
Egypt,1980,45 +,32741
Egypt,1980,Unknown,75069
Egypt,1979,Total,1633674
Egypt,1979,0 - 19,41039
Egypt,1979,20 - 24,329093
Egypt,1979,25 - 29,502558
Egypt,1979,30 - 34,355108
Egypt,1979,35 - 39,244140
Egypt,1979,40 - 44,90612
Egypt,1979,45 +,37383
Egypt,1979,Unknown,33741
Egypt,1978,Total,1479698
Egypt,1978,0 - 19,36727
Egypt,1978,20 - 24,308433
Egypt,1978,25 - 29,459689
Egypt,1978,30 - 34,319444
Egypt,1978,35 - 39,224130
Egypt,1978,40 - 44,81693
Egypt,1978,45 +,34294
Egypt,1978,Unknown,15288
Egypt,1977,Total,1447402
Egypt,1977,0 - 19,35696
Egypt,1977,20 - 24,306577
Egypt,1977,25 - 29,440919
Egypt,1977,30 - 34,312050
Egypt,1977,35 - 39,219955
Egypt,1977,40 - 44,82297
Egypt,1977,45 +,35177
Egypt,1977,Unknown,14731
Egypt,1976,Total,1378917
Egypt,1976,0 - 19,34739
Egypt,1976,20 - 24,266219
Egypt,1976,25 - 29,388108
Egypt,1976,30 - 34,274470
Egypt,1976,35 - 39,194778
Egypt,1976,40 - 44,74311
Egypt,1976,45 +,31341
Egypt,1976,Unknown,114951
Egypt,1975,Total,1331799
Egypt,1975,0 - 19,37964
Egypt,1975,20 - 24,266202
Egypt,1975,25 - 29,375687
Egypt,1975,30 - 34,270393
Egypt,1975,35 - 39,193469
Egypt,1975,40 - 44,74800
Egypt,1975,45 +,31513
Egypt,1975,Unknown,81771
Egypt,1974,Total,1287614
Egypt,1974,0 - 19,40154
Egypt,1974,20 - 24,267790
Egypt,1974,25 - 29,361546
Egypt,1974,30 - 34,275141
Egypt,1974,35 - 39,199452
Egypt,1974,40 - 44,77683
Egypt,1974,45 +,31417
Egypt,1974,Unknown,34431
Egypt,1973,Total,1259004
Egypt,1973,0 - 19,43516
Egypt,1973,20 - 24,265877
Egypt,1973,25 - 29,347376
Egypt,1973,30 - 34,266856
Egypt,1973,35 - 39,199286
Egypt,1973,40 - 44,77924
Egypt,1973,45 +,31613
Egypt,1973,Unknown,26556
Egypt,1972,Total,1187286
Egypt,1972,0 - 19,45254
Egypt,1972,20 - 24,246157
Egypt,1972,25 - 29,320774
Egypt,1972,30 - 34,249743
Egypt,1972,35 - 39,186734
Egypt,1972,40 - 44,73348
Egypt,1972,45 +,30637
Egypt,1972,Unknown,34639
Egypt,1971,Total,1186350
Egypt,1971,0 - 19,44250
Egypt,1971,20 - 24,240071
Egypt,1971,25 - 29,323667
Egypt,1971,30 - 34,255588
Egypt,1971,35 - 39,191888
Egypt,1971,40 - 44,74824
Egypt,1971,45 +,30769
Egypt,1971,Unknown,25293
Egypt,1970,Total,1161539
Egypt,1970,0 - 19,42195
Egypt,1970,20 - 24,227736
Egypt,1970,25 - 29,314815
Egypt,1970,30 - 34,255887
Egypt,1970,35 - 39,193750
Egypt,1970,40 - 44,76928
Egypt,1970,45 +,31659
Egypt,1970,Unknown,18569
Egypt,1969,Total,1197245
Egypt,1969,0 - 19,38467
Egypt,1969,20 - 24,229640
Egypt,1969,25 - 29,327905
Egypt,1969,30 - 34,269017
Egypt,1969,35 - 39,213485
Egypt,1969,40 - 44,83147
Egypt,1969,45 +,33986
Egypt,1969,Unknown,1598
Egypt,1968,Total,1206585
Egypt,1968,0 - 19,40720
Egypt,1968,20 - 24,230448
Egypt,1968,25 - 29,328456
Egypt,1968,30 - 34,271840
Egypt,1968,35 - 39,214943
Egypt,1968,40 - 44,83537
Egypt,1968,45 +,34395
Egypt,1968,Unknown,2246
Egypt,1967,Total,1210214
Egypt,1967,0 - 19,47922
Egypt,1967,20 - 24,239923
Egypt,1967,25 - 29,324646
Egypt,1967,30 - 34,268570
Egypt,1967,35 - 39,210563
Egypt,1967,40 - 44,80747
Egypt,1967,45 +,35002
Egypt,1967,Unknown,2841
Egypt,1966,Total,1234976
Egypt,1966,0 - 19,50918
Egypt,1966,20 - 24,236263
Egypt,1966,25 - 29,333114
Egypt,1966,30 - 34,280284
Egypt,1966,35 - 39,216082
Egypt,1966,40 - 44,82418
Egypt,1966,45 +,33528
Egypt,1966,Unknown,2369
Egypt,1965,Total,1220658
Egypt,1965,0 - 19,42786
Egypt,1965,20 - 24,226564
Egypt,1965,25 - 29,327552
Egypt,1965,30 - 34,275703
Egypt,1965,35 - 39,177170
Egypt,1965,40 - 44,63323
Egypt,1965,45 +,23674
Egypt,1965,Unknown,83886
El Salvador,2011,Total,109384
El Salvador,2011,0 - 14,1022
El Salvador,2011,15,1909
El Salvador,2011,15 - 19,22723
El Salvador,2011,16,3599
El Salvador,2011,17,4782
El Salvador,2011,18,5895
El Salvador,2011,19,6538
El Salvador,2011,20,6616
El Salvador,2011,20 - 24,31937
El Salvador,2011,21,6721
El Salvador,2011,22,6550
El Salvador,2011,23,6217
El Salvador,2011,24,5833
El Salvador,2011,25,5644
El Salvador,2011,25 - 29,24463
El Salvador,2011,26,5075
El Salvador,2011,27,4611
El Salvador,2011,28,4678
El Salvador,2011,29,4455
El Salvador,2011,30,4166
El Salvador,2011,30 - 34,17861
El Salvador,2011,31,3963
El Salvador,2011,32,3653
El Salvador,2011,33,3227
El Salvador,2011,34,2852
El Salvador,2011,35,2365
El Salvador,2011,35 - 39,8511
El Salvador,2011,36,2016
El Salvador,2011,37,1684
El Salvador,2011,38,1325
El Salvador,2011,39,1121
El Salvador,2011,40,853
El Salvador,2011,40 - 44,2300
El Salvador,2011,41,570
El Salvador,2011,42,454
El Salvador,2011,43,283
El Salvador,2011,44,140
El Salvador,2011,45,65
El Salvador,2011,45 - 49,145
El Salvador,2011,46,39
El Salvador,2011,47,20
El Salvador,2011,48,14
El Salvador,2011,49,7
El Salvador,2011,50 +,14
El Salvador,2011,Unknown,408
El Salvador,2010,Total,104939
El Salvador,2010,0 - 14,1016
El Salvador,2010,15,1995
El Salvador,2010,15 - 19,21944
El Salvador,2010,16,3452
El Salvador,2010,17,4636
El Salvador,2010,18,5593
El Salvador,2010,19,6268
El Salvador,2010,20,6527
El Salvador,2010,20 - 24,30430
El Salvador,2010,21,6246
El Salvador,2010,22,6384
El Salvador,2010,23,5762
El Salvador,2010,24,5511
El Salvador,2010,25,5179
El Salvador,2010,25 - 29,23762
El Salvador,2010,26,4827
El Salvador,2010,27,4691
El Salvador,2010,28,4533
El Salvador,2010,29,4532
El Salvador,2010,30,4140
El Salvador,2010,30 - 34,17016
El Salvador,2010,31,3757
El Salvador,2010,32,3435
El Salvador,2010,33,3051
El Salvador,2010,34,2633
El Salvador,2010,35,2241
El Salvador,2010,35 - 39,8104
El Salvador,2010,36,1888
El Salvador,2010,37,1608
El Salvador,2010,38,1312
El Salvador,2010,39,1055
El Salvador,2010,40,730
El Salvador,2010,40 - 44,2099
El Salvador,2010,41,525
El Salvador,2010,42,402
El Salvador,2010,43,271
El Salvador,2010,44,171
El Salvador,2010,45,90
El Salvador,2010,45 - 49,171
El Salvador,2010,46,41
El Salvador,2010,47,24
El Salvador,2010,48,12
El Salvador,2010,49,4
El Salvador,2010,50 +,23
El Salvador,2010,Unknown,374
El Salvador,2007,Total,106471
El Salvador,2007,14-Dec,1067
El Salvador,2007,15 - 19,22272
El Salvador,2007,20 - 24,30060
El Salvador,2007,25 - 29,25793
El Salvador,2007,30 - 34,16619
El Salvador,2007,35 - 39,7903
El Salvador,2007,40 - 44,2312
El Salvador,2007,45 - 49,173
El Salvador,2007,50 +,22
El Salvador,2007,Unknown,250
El Salvador,2006,Total,107111
El Salvador,2006,0 - 14,1163
El Salvador,2006,14-Dec,1163
El Salvador,2006,15 - 19,21836
El Salvador,2006,20 - 24,30351
El Salvador,2006,25 - 29,26478
El Salvador,2006,30 - 34,16395
El Salvador,2006,35 - 39,7929
El Salvador,2006,40 - 44,2418
El Salvador,2006,45 - 49,238
El Salvador,2006,50 +,20
El Salvador,2006,Unknown,283
El Salvador,2005,Total,112769
El Salvador,2005,14-Dec,1236
El Salvador,2005,15 - 19,23191
El Salvador,2005,20 - 24,32124
El Salvador,2005,25 - 29,27650
El Salvador,2005,30 - 34,17108
El Salvador,2005,35 - 39,8151
El Salvador,2005,40 - 44,2580
El Salvador,2005,45 - 49,231
El Salvador,2005,50 +,21
El Salvador,2005,Unknown,477
El Salvador,2003,Total,124476
El Salvador,2003,0 - 14,1161
El Salvador,2003,15 - 19,24405
El Salvador,2003,20 - 24,38372
El Salvador,2003,25 - 29,30333
El Salvador,2003,30 - 34,17680
El Salvador,2003,35 - 39,9033
El Salvador,2003,40 - 44,2797
El Salvador,2003,45 - 49,299
El Salvador,2003,50 +,49
El Salvador,2003,Unknown,347
El Salvador,2002,Total,129363
El Salvador,2002,0 - 14,1186
El Salvador,2002,15 - 19,25542
El Salvador,2002,20 - 24,40401
El Salvador,2002,25 - 29,31654
El Salvador,2002,30 - 34,18046
El Salvador,2002,35 - 39,9049
El Salvador,2002,40 - 44,2998
El Salvador,2002,45 - 49,304
El Salvador,2002,50 +,43
El Salvador,2002,Unknown,140
El Salvador,2001,Total,138354
El Salvador,2001,0 - 14,1308
El Salvador,2001,15 - 19,27685
El Salvador,2001,20 - 24,44270
El Salvador,2001,25 - 29,32760
El Salvador,2001,30 - 34,19020
El Salvador,2001,35 - 39,9682
El Salvador,2001,40 - 44,3188
El Salvador,2001,45 - 49,389
El Salvador,2001,50 +,48
El Salvador,2001,Unknown,4
El Salvador,2000,Total,150176
El Salvador,2000,0 - 14,1399
El Salvador,2000,15 - 19,30610
El Salvador,2000,20 - 24,48853
El Salvador,2000,25 - 29,35030
El Salvador,2000,30 - 34,20068
El Salvador,2000,35 - 39,10388
El Salvador,2000,40 - 44,3416
El Salvador,2000,45 - 49,360
El Salvador,2000,50 +,48
El Salvador,2000,Unknown,4
El Salvador,1999,Total,153636
El Salvador,1999,0 - 14,1245
El Salvador,1999,15 - 19,31981
El Salvador,1999,20 - 24,49530
El Salvador,1999,25 - 29,35851
El Salvador,1999,30 - 34,20490
El Salvador,1999,35 - 39,10494
El Salvador,1999,40 - 44,3507
El Salvador,1999,45 - 49,452
El Salvador,1999,50 +,44
El Salvador,1999,Unknown,42
El Salvador,1998,Total,158350
El Salvador,1998,0 - 14,1226
El Salvador,1998,15 - 19,33930
El Salvador,1998,20 - 24,51492
El Salvador,1998,25 - 29,35997
El Salvador,1998,30 - 34,21043
El Salvador,1998,35 - 39,10590
El Salvador,1998,40 - 44,3498
El Salvador,1998,45 - 49,501
El Salvador,1998,50 +,61
El Salvador,1998,Unknown,12
El Salvador,1997,Total,164143
El Salvador,1997,0 - 14,1296
El Salvador,1997,15 - 19,35469
El Salvador,1997,20 - 24,53496
El Salvador,1997,25 - 29,36920
El Salvador,1997,30 - 34,21447
El Salvador,1997,35 - 39,11004
El Salvador,1997,40 - 44,3687
El Salvador,1997,45 - 49,521
El Salvador,1997,50 +,89
El Salvador,1997,Unknown,214
El Salvador,1996,Total,163007
El Salvador,1996,0 - 14,1247
El Salvador,1996,15 - 19,36398
El Salvador,1996,20 - 24,52040
El Salvador,1996,25 - 29,36318
El Salvador,1996,30 - 34,21546
El Salvador,1996,35 - 39,10866
El Salvador,1996,40 - 44,3805
El Salvador,1996,45 - 49,608
El Salvador,1996,50 +,150
El Salvador,1996,Unknown,29
El Salvador,1995,Total,159336
El Salvador,1995,0 - 14,1269
El Salvador,1995,15 - 19,34895
El Salvador,1995,20 - 24,50147
El Salvador,1995,25 - 29,35970
El Salvador,1995,30 - 34,20824
El Salvador,1995,35 - 39,10932
El Salvador,1995,40 - 44,4041
El Salvador,1995,45 - 49,716
El Salvador,1995,50 +,152
El Salvador,1995,Unknown,390
El Salvador,1994,Total,160772
El Salvador,1994,0 - 14,1224
El Salvador,1994,15 - 19,34410
El Salvador,1994,20 - 24,50020
El Salvador,1994,25 - 29,35144
El Salvador,1994,30 - 34,20249
El Salvador,1994,35 - 39,10487
El Salvador,1994,40 - 44,3911
El Salvador,1994,45 - 49,699
El Salvador,1994,50 +,172
El Salvador,1994,Unknown,4456
El Salvador,1993,Total,157640
El Salvador,1993,0 - 14,1173
El Salvador,1993,15 - 19,32251
El Salvador,1993,20 - 24,49234
El Salvador,1993,25 - 29,34075
El Salvador,1993,30 - 34,19734
El Salvador,1993,35 - 39,10398
El Salvador,1993,40 - 44,3978
El Salvador,1993,45 - 49,751
El Salvador,1993,50 +,181
El Salvador,1993,Unknown,5865
El Salvador,1992,Total,154014
El Salvador,1992,0 - 14,981
El Salvador,1992,15 - 19,30136
El Salvador,1992,20 - 24,47646
El Salvador,1992,25 - 29,33523
El Salvador,1992,30 - 34,19235
El Salvador,1992,35 - 39,10174
El Salvador,1992,40 - 44,3872
El Salvador,1992,45 - 49,755
El Salvador,1992,50 +,210
El Salvador,1992,Unknown,7482
El Salvador,1991,Total,151210
El Salvador,1991,0 - 14,724
El Salvador,1991,15 - 19,30317
El Salvador,1991,20 - 24,46873
El Salvador,1991,25 - 29,33279
El Salvador,1991,30 - 34,18581
El Salvador,1991,35 - 39,10073
El Salvador,1991,40 - 44,3828
El Salvador,1991,45 - 49,864
El Salvador,1991,50 +,189
El Salvador,1991,Unknown,6482
El Salvador,1990,Total,148360
El Salvador,1990,0 - 14,863
El Salvador,1990,15 - 19,29335
El Salvador,1990,20 - 24,45995
El Salvador,1990,25 - 29,32583
El Salvador,1990,30 - 34,18061
El Salvador,1990,35 - 39,10250
El Salvador,1990,40 - 44,3819
El Salvador,1990,45 - 49,930
El Salvador,1990,50 +,137
El Salvador,1990,Unknown,6387
El Salvador,1989,Total,151859
El Salvador,1989,0 - 14,785
El Salvador,1989,15 - 19,29384
El Salvador,1989,20 - 24,47609
El Salvador,1989,25 - 29,33203
El Salvador,1989,30 - 34,18504
El Salvador,1989,35 - 39,10351
El Salvador,1989,40 - 44,3822
El Salvador,1989,45 - 49,910
El Salvador,1989,50 +,167
El Salvador,1989,Unknown,7124
El Salvador,1988,Total,149299
El Salvador,1988,0 - 14,714
El Salvador,1988,15 - 19,29042
El Salvador,1988,20 - 24,47607
El Salvador,1988,25 - 29,32598
El Salvador,1988,30 - 34,18098
El Salvador,1988,35 - 39,10646
El Salvador,1988,40 - 44,4037
El Salvador,1988,45 - 49,957
El Salvador,1988,50 +,243
El Salvador,1988,Unknown,5357
El Salvador,1987,Total,148355
El Salvador,1987,0 - 14,678
El Salvador,1987,15 - 19,28137
El Salvador,1987,20 - 24,46730
El Salvador,1987,25 - 29,32888
El Salvador,1987,30 - 34,18543
El Salvador,1987,35 - 39,10526
El Salvador,1987,40 - 44,4048
El Salvador,1987,45 - 49,846
El Salvador,1987,50 +,230
El Salvador,1987,Unknown,5729
El Salvador,1986,Total,145126
El Salvador,1986,0 - 14,548
El Salvador,1986,15 - 19,28069
El Salvador,1986,20 - 24,46323
El Salvador,1986,25 - 29,31037
El Salvador,1986,30 - 34,17984
El Salvador,1986,35 - 39,10944
El Salvador,1986,40 - 44,4112
El Salvador,1986,45 - 49,1044
El Salvador,1986,50 +,72
El Salvador,1986,Unknown,4993
El Salvador,1985,Total,140784
El Salvador,1985,0 - 14,531
El Salvador,1985,15 - 19,27284
El Salvador,1985,20 - 24,44554
El Salvador,1985,25 - 29,30105
El Salvador,1985,30 - 34,17800
El Salvador,1985,35 - 39,10806
El Salvador,1985,40 - 44,4305
El Salvador,1985,45 - 49,958
El Salvador,1985,50 +,91
El Salvador,1985,Unknown,4350
El Salvador,1984,Total,142202
El Salvador,1984,0 - 14,395
El Salvador,1984,15 - 19,27537
El Salvador,1984,20 - 24,45359
El Salvador,1984,25 - 29,30355
El Salvador,1984,30 - 34,18092
El Salvador,1984,35 - 39,10743
El Salvador,1984,40 - 44,4434
El Salvador,1984,45 - 49,864
El Salvador,1984,50 +,136
El Salvador,1984,Unknown,4287
El Salvador,1983,Total,144193
El Salvador,1983,0 - 14,415
El Salvador,1983,15 - 19,28664
El Salvador,1983,20 - 24,45700
El Salvador,1983,25 - 29,30900
El Salvador,1983,30 - 34,18566
El Salvador,1983,35 - 39,11058
El Salvador,1983,40 - 44,4499
El Salvador,1983,45 - 49,915
El Salvador,1983,50 +,196
El Salvador,1983,Unknown,3280
El Salvador,1982,Total,156796
El Salvador,1982,0 - 14,567
El Salvador,1982,15 - 19,31682
El Salvador,1982,20 - 24,49960
El Salvador,1982,25 - 29,32960
El Salvador,1982,30 - 34,20103
El Salvador,1982,35 - 39,12291
El Salvador,1982,40 - 44,5182
El Salvador,1982,45 - 49,965
El Salvador,1982,50 +,183
El Salvador,1982,Unknown,2903
El Salvador,1981,Total,163305
El Salvador,1981,0 - 14,593
El Salvador,1981,15 - 19,33864
El Salvador,1981,20 - 24,52429
El Salvador,1981,25 - 29,34057
El Salvador,1981,30 - 34,20976
El Salvador,1981,35 - 39,13051
El Salvador,1981,40 - 44,5584
El Salvador,1981,45 - 49,1139
El Salvador,1981,50 +,233
El Salvador,1981,Unknown,1379
El Salvador,1980,Total,169930
El Salvador,1980,0 - 14,460
El Salvador,1980,15 - 19,34944
El Salvador,1980,20 - 24,53623
El Salvador,1980,25 - 29,35644
El Salvador,1980,30 - 34,21719
El Salvador,1980,35 - 39,14343
El Salvador,1980,40 - 44,5852
El Salvador,1980,45 - 49,1236
El Salvador,1980,50 +,227
El Salvador,1980,Unknown,1882
El Salvador,1979,Total,174183
El Salvador,1979,0 - 14,395
El Salvador,1979,15 - 19,36299
El Salvador,1979,20 - 24,54037
El Salvador,1979,25 - 29,37589
El Salvador,1979,30 - 34,22776
El Salvador,1979,35 - 39,15315
El Salvador,1979,40 - 44,5682
El Salvador,1979,45 - 49,1151
El Salvador,1979,50 +,206
El Salvador,1979,Unknown,733
El Salvador,1978,Total,172897
El Salvador,1978,0 - 14,129
El Salvador,1978,15 - 19,35172
El Salvador,1978,20 - 24,52864
El Salvador,1978,25 - 29,37586
El Salvador,1978,30 - 34,22777
El Salvador,1978,35 - 39,16039
El Salvador,1978,40 - 44,5669
El Salvador,1978,45 - 49,1255
El Salvador,1978,50 +,165
El Salvador,1978,Unknown,1241
El Salvador,1977,Total,177531
El Salvador,1977,0 - 14,169
El Salvador,1977,15 - 19,34977
El Salvador,1977,20 - 24,54398
El Salvador,1977,25 - 29,39404
El Salvador,1977,30 - 34,23601
El Salvador,1977,35 - 39,16724
El Salvador,1977,40 - 44,5780
El Salvador,1977,45 - 49,1214
El Salvador,1977,50 +,137
El Salvador,1977,Unknown,1127
El Salvador,1976,Total,165822
El Salvador,1976,0 - 14,232
El Salvador,1976,15 - 19,31597
El Salvador,1976,20 - 24,50367
El Salvador,1976,25 - 29,36947
El Salvador,1976,30 - 34,22802
El Salvador,1976,35 - 39,16419
El Salvador,1976,40 - 44,5260
El Salvador,1976,45 - 49,1237
El Salvador,1976,50 +,146
El Salvador,1976,Unknown,815
El Salvador,1975,Total,159731
El Salvador,1975,0 - 14,263
El Salvador,1975,15 - 19,30025
El Salvador,1975,20 - 24,47897
El Salvador,1975,25 - 29,35802
El Salvador,1975,30 - 34,22044
El Salvador,1975,35 - 39,16231
El Salvador,1975,40 - 44,5083
El Salvador,1975,45 - 49,1141
El Salvador,1975,50 +,186
El Salvador,1975,Unknown,1059
El Salvador,1974,Total,158524
El Salvador,1974,0 - 14,134
El Salvador,1974,15 - 19,29743
El Salvador,1974,20 - 24,47871
El Salvador,1974,25 - 29,34811
El Salvador,1974,30 - 34,22490
El Salvador,1974,35 - 39,15934
El Salvador,1974,40 - 44,5107
El Salvador,1974,45 - 49,1128
El Salvador,1974,50 +,144
El Salvador,1974,Unknown,1162
El Salvador,1973,Total,155632
El Salvador,1973,0 - 14,180
El Salvador,1973,15 - 19,28678
El Salvador,1973,20 - 24,46694
El Salvador,1973,25 - 29,34125
El Salvador,1973,30 - 34,22447
El Salvador,1973,35 - 39,15772
El Salvador,1973,40 - 44,5223
El Salvador,1973,45 - 49,1048
El Salvador,1973,50 +,189
El Salvador,1973,Unknown,1276
El Salvador,1972,Total,153464
El Salvador,1972,0 - 14,255
El Salvador,1972,15 - 19,27885
El Salvador,1972,20 - 24,45606
El Salvador,1972,25 - 29,33578
El Salvador,1972,30 - 34,22643
El Salvador,1972,35 - 39,15886
El Salvador,1972,40 - 44,5415
El Salvador,1972,45 - 49,1078
El Salvador,1972,50 +,219
El Salvador,1972,Unknown,899
El Salvador,1971,Total,154309
El Salvador,1971,0 - 14,237
El Salvador,1971,15 - 19,27062
El Salvador,1971,20 - 24,45682
El Salvador,1971,25 - 29,33680
El Salvador,1971,30 - 34,23301
El Salvador,1971,35 - 39,16397
El Salvador,1971,40 - 44,5473
El Salvador,1971,45 - 49,1163
El Salvador,1971,50 +,224
El Salvador,1971,Unknown,1090
El Salvador,1970,Total,141471
El Salvador,1970,0 - 14,221
El Salvador,1970,15 - 19,23587
El Salvador,1970,20 - 24,41417
El Salvador,1970,25 - 29,31302
El Salvador,1970,30 - 34,21653
El Salvador,1970,35 - 39,15935
El Salvador,1970,40 - 44,5106
El Salvador,1970,45 - 49,1080
El Salvador,1970,50 +,174
El Salvador,1970,Unknown,996
El Salvador,1969,Total,142699
El Salvador,1969,0 - 14,196
El Salvador,1969,15 - 19,23707
El Salvador,1969,20 - 24,41380
El Salvador,1969,25 - 29,31687
El Salvador,1969,30 - 34,21782
El Salvador,1969,35 - 39,16488
El Salvador,1969,40 - 44,5160
El Salvador,1969,45 - 49,1131
El Salvador,1969,50 +,152
El Salvador,1969,Unknown,1016
El Salvador,1968,Total,140986
El Salvador,1968,0 - 14,175
El Salvador,1968,15 - 19,22660
El Salvador,1968,20 - 24,41694
El Salvador,1968,25 - 29,32013
El Salvador,1968,30 - 34,21734
El Salvador,1968,35 - 39,15778
El Salvador,1968,40 - 44,4729
El Salvador,1968,45 - 49,1035
El Salvador,1968,50 +,172
El Salvador,1968,Unknown,996
El Salvador,1967,Total,139955
El Salvador,1967,0 - 14,283
El Salvador,1967,15 - 19,21747
El Salvador,1967,20 - 24,41642
El Salvador,1967,25 - 29,32300
El Salvador,1967,30 - 34,21671
El Salvador,1967,35 - 39,15467
El Salvador,1967,40 - 44,4659
El Salvador,1967,45 - 49,991
El Salvador,1967,50 +,154
El Salvador,1967,Unknown,1041
El Salvador,1966,Total,137950
El Salvador,1966,0 - 14,212
El Salvador,1966,15 - 19,21057
El Salvador,1966,20 - 24,40539
El Salvador,1966,25 - 29,32050
El Salvador,1966,30 - 34,21387
El Salvador,1966,35 - 39,15502
El Salvador,1966,40 - 44,4625
El Salvador,1966,45 - 49,1125
El Salvador,1966,50 +,778
El Salvador,1966,Unknown,675
El Salvador,1965,Total,137430
El Salvador,1965,0 - 14,173
El Salvador,1965,15 - 19,21200
El Salvador,1965,20 - 24,38922
El Salvador,1965,25 - 29,32554
El Salvador,1965,30 - 34,21629
El Salvador,1965,35 - 39,15848
El Salvador,1965,40 - 44,4599
El Salvador,1965,45 - 49,979
El Salvador,1965,50 +,190
El Salvador,1965,Unknown,1336
Estonia,2011,Total,14679
Estonia,2011,12,0
Estonia,2011,13,0
Estonia,2011,14,1
Estonia,2011,15,10
Estonia,2011,16,39
Estonia,2011,17,112
Estonia,2011,18,151
Estonia,2011,19,248
Estonia,2011,20,372
Estonia,2011,21,440
Estonia,2011,22,569
Estonia,2011,23,640
Estonia,2011,24,764
Estonia,2011,25,832
